Requirement	AC	Source locator	Requirement title	AC text	Requirement SHA-256	AC SHA-256
REQ-ACOU-001	AC-ACOU-001	4df6fb1:approved-bounded-contract.md:17	## REQ-ACOU-001 — Acoustic Contextはwakeから一命令までを唯一所有する	- AC-ACOU-001: Acoustic Contextのownership registryはwake受理、session identity、pre-roll選択window/cursor、保持/discard、guard、空命令判定を一度だけ登録する。Yata Wake、Mimy、RTSPその他のsource Adapterはraw audio bytes/ring bufferを所有してよいが、前記のdomain判断の所有者として登録しない。	sha256:fb6e552d9f7d4344b1d322df94d98f0d10954342162532472464347c8becb423	sha256:b6e20ca34a3ac9d86383b8deadc7b6a9c21ba511d6eac445046dc2a14c6708b1
REQ-ACOU-001	AC-ACOU-002	4df6fb1:approved-bounded-contract.md:18	## REQ-ACOU-001 — Acoustic Contextはwakeから一命令までを唯一所有する	- AC-ACOU-002: wake fixtureが、最初の実発話を保持したまま、prompt由来入力だけをdiscardし、guard終了後に一命令だけを`SubmitInteraction`へ変換することを示す。固定の無音fixtureだけで合格にしてはならない。	sha256:fb6e552d9f7d4344b1d322df94d98f0d10954342162532472464347c8becb423	sha256:548fabcc8021d719a0b2abdc7c11bb587b3156e5de356dfce36dc56cb31c555c
REQ-ACOU-001	AC-ACOU-003	4df6fb1:approved-bounded-contract.md:19	## REQ-ACOU-001 — Acoustic Contextはwakeから一命令までを唯一所有する	- AC-ACOU-003: 空命令、prompt回り込み、dispatch後の遅延音声、再接続の各fixtureが、追加のwake/session/Interactionを生成せず、型付きのdiscard、empty、またはsource-recovered事実を残す。	sha256:fb6e552d9f7d4344b1d322df94d98f0d10954342162532472464347c8becb423	sha256:73f60e74f8af3051f6d89a490c6f7fdbbae4b51a1cd2cb8a75aca55de58d581c
REQ-ACOU-001	AC-ACOU-004	4df6fb1:approved-bounded-contract.md:20	## REQ-ACOU-001 — Acoustic Contextはwakeから一命令までを唯一所有する	- AC-ACOU-004: pre-roll長、guard長、source bufferのflush/reconnect方式を未固定のまま、実profile fixtureがwake、prompt、最初の発話、命令確定、discard理由を相関ID付きで記録する。	sha256:fb6e552d9f7d4344b1d322df94d98f0d10954342162532472464347c8becb423	sha256:d497f180dba0a659254d16b125b10ec5e20fef5e2226767ece2ea4a624e89ad7
REQ-ACOU-001	AC-ACOU-005	4df6fb1:approved-bounded-contract.md:21	## REQ-ACOU-001 — Acoustic Contextはwakeから一命令までを唯一所有する	- AC-ACOU-005: 実profile fixtureが、wake prompt「はい」をtranscriptへ含めず、実TTS応答を新しい通常Wake/通常command/Interaction/LLMとして受理せず、最初の利用者発話を保持することを示す。TTS中もHome/Stop候補の検知経路は生存するが、音声Stop候補だけはversion付きStopSuppressionPolicyを通る。空命令はLLMまたはbody Effectを作らずHomeへ戻り、通知の有無は別のNotification Policy/Effectとして扱う。	sha256:fb6e552d9f7d4344b1d322df94d98f0d10954342162532472464347c8becb423	sha256:25c331969ff78bae326e0e1d892ac0dad81d747e17d88219289c4b9cd204e7fd
REQ-ACOU-001	AC-ACOU-006	4df6fb1:approved-bounded-contract.md:22	## REQ-ACOU-001 — Acoustic Contextはwakeから一命令までを唯一所有する	- AC-ACOU-006: exact playback occurrenceへbindした回答全文に登録Stop語を含むfixtureでは、TTS再生中の音声Stop候補を意図どおり抑止し、利用者が実際にStopを発話したfixtureも抑止されることを隠さない。回答全文にStop語を含まないfixtureでは、利用者Stopを共通Cancellationへ変換する。両fixtureでWeb Home/Cancelは受理され、TTS waveformは通常command/Interaction/LLMへ循環しない。初期release必須のTC70は実測とOwner採否決定をrelease gateとする。C210は対応をrelease-readyと主張するprofileについて同じ実測とOwner判断を必須とし、未達でもTC70初期releaseを妨げず後続profileにできる。	sha256:fb6e552d9f7d4344b1d322df94d98f0d10954342162532472464347c8becb423	sha256:1cc03eadf7c4e90027e32f325de6837a97b21783b5dce2696e0fb5713b3e1d63
REQ-ACOU-001	AC-ACOU-007	4df6fb1:approved-bounded-contract.md:23	## REQ-ACOU-001 — Acoustic Contextはwakeから一命令までを唯一所有する	- AC-ACOU-007: ownership fixtureが登録Stop語/Policy versionをAcoustic Context、playback occurrence→canonical回答全文/Policy version bindingをExecution Contextへ一度だけ登録する。TTS/STT Adapterが抑止DecisionまたはStateを所有せず、候補/結果Eventだけを返し、純粋Ruleがpin済みread viewから判定する。	sha256:fb6e552d9f7d4344b1d322df94d98f0d10954342162532472464347c8becb423	sha256:22de57edb952ba54d140e5c5b2cc5e00cf071b67d3363fac52e997544244ba39
REQ-MEM-001	AC-MEM-001	4df6fb1:approved-bounded-contract.md:39	## REQ-MEM-001 — ConversationとMemoryをYatagarasu所有の記録として分離する	- AC-MEM-001: ownership fixtureがConversation Context、Memory Context、外部Skill app data、Provider threadを別Stateとして示し、外部側がConversation/Memory/WorldStateを変更できないことを示す。	sha256:8a7e545a06aecd395e091c1961a3b9dd29e9b07093c8a4b443018cc578a8625e	sha256:fabcf3ad68fda90b45d774d5dc07543675accd12c3d7f604c397f30b45cbbe47
REQ-MEM-001	AC-MEM-002	4df6fb1:approved-bounded-contract.md:40	## REQ-MEM-001 — ConversationとMemoryをYatagarasu所有の記録として分離する	- AC-MEM-002: enabled既定profile、disabled/revoked profile、明示`Memorize`、Owner delete、reflex command、既存互換store recordのfixtureが、Conversationの原発話と最終応答だけをauto-saveし、reflexをMemoryへ保存せず、disable/revocation後の次save/transfer Effectを作らず、削除済み記録をSemanticMemoryからrecallまたは再注入しないことを示す。すでに外部Threadへ渡した内容の遡及消去は主張せず、その制約をOwnerへ示す。Y1 recordのimport job/API/Upgrade migrationを作らず、同じ互換storeですでに可視なrecordだけをprovenance付きで扱う。	sha256:8a7e545a06aecd395e091c1961a3b9dd29e9b07093c8a4b443018cc578a8625e	sha256:09264e4f66d4ebe46ef3d23fba4b417487223904efa0fdad9992d731eda1f8f5
REQ-MEM-001	AC-MEM-003	4df6fb1:approved-bounded-contract.md:41	## REQ-MEM-001 — ConversationとMemoryをYatagarasu所有の記録として分離する	- AC-MEM-003: 通常Conversationのversion付き既定Policyが`recent=0`、`semantic=3`を返し、設定変更を次Interactionから適用する。目的別Policyがrecent/semantic件数を上書きするfixtureは、重複時にrecentを優先して一度だけ示す。空結果、検索Failure、保存拒否は三つの異なる型付き結果である。	sha256:8a7e545a06aecd395e091c1961a3b9dd29e9b07093c8a4b443018cc578a8625e	sha256:b723f26410cbe7c1fabed05e3b5b8360498e4a2c559b823b0d8791a91197eef9
REQ-MEM-001	AC-MEM-004	4df6fb1:approved-bounded-contract.md:42	## REQ-MEM-001 — ConversationとMemoryをYatagarasu所有の記録として分離する	- AC-MEM-004: `Summarize`、`ExistenceConfirm`、`TopicSearch`、`Compare`、`Contextualize`の各RecallPurpose fixtureが、version付き件数、recent優先/競合理由、記録provenanceを保ち、目的外の記憶を事実または現在観測として提示しない。	sha256:8a7e545a06aecd395e091c1961a3b9dd29e9b07093c8a4b443018cc578a8625e	sha256:3a91a4247dbe2a14e6be8a209a8aec253707052045f13d62748af3e1ce774495
REQ-MEM-001	AC-MEM-005	4df6fb1:approved-bounded-contract.md:43	## REQ-MEM-001 — ConversationとMemoryをYatagarasu所有の記録として分離する	- AC-MEM-005: enabledな初期Conversation profileは、conversational LLM requestより前に既定`recent=0`、`semantic=3`を取得する。`CodexThread` routeでは選択されたSemanticMemory参照/provenanceを継続Threadへ追加し、`NoExternalContinuity` routeでは現在入力と選択参照だけをそのturnへ渡して外部継続を主張しない。retrieval Failureまたはdisabled状態は型付きPolicy結果として残し、記憶を捏造しない。current-image interpretationなどのBehavior Policyはmemoryを`NotApplicable`と宣言できるが、実装がmemory経路全体を省略してこのACに合格してはならない。	sha256:8a7e545a06aecd395e091c1961a3b9dd29e9b07093c8a4b443018cc578a8625e	sha256:bba11f619e67fe51eb880d0dc9c95434d3708a85e7652abf832848eea5a8e3ee
REQ-MEM-001	AC-MEM-006	4df6fb1:approved-bounded-contract.md:44	## REQ-MEM-001 — ConversationとMemoryをYatagarasu所有の記録として分離する	- AC-MEM-006: SemanticMemory disable/delete/reset、Thread reset、Thread compaction、deleted Thread/resume mismatchのfixtureが、それぞれ別のCommand/Event/Policy結果を返す。Thread resetはdurable barrier後に新Threadを開始し、旧Threadのlate resultを新Threadへ結び直さず、SemanticMemoryを暗黙削除しない。SemanticMemory delete/resetは旧Threadからの文脈消去を偽らず、OwnerへThread resetを別操作として提示する。	sha256:8a7e545a06aecd395e091c1961a3b9dd29e9b07093c8a4b443018cc578a8625e	sha256:13f96a0e9874fec9b2257d59d09006b45ecb46ed5d2a2edfd351d77ecc3311a3
REQ-OUT-001	AC-OUT-001	4df6fb1:approved-bounded-contract.md:71	## REQ-OUT-001 — Presentationと出力目的を型付きにする	- AC-OUT-001: 全9種のView purposeと全5種のRecall purposeのfixtureが、それぞれ必要入力、許可surface、evidence/provenance、禁止presentationを検証し、目的を文字列の自由入力で代用しない。	sha256:ab19698707c4d725172f73e5261f8fc9a014fd2b0a4c3a43f4bb434ad2588af1	sha256:45d54b8f824a61b4ede5f31fe0bb1917653acef1d1b9560b2b1bc34817d0c6b9
REQ-OUT-001	AC-OUT-002	4df6fb1:approved-bounded-contract.md:72	## REQ-OUT-001 — Presentationと出力目的を型付きにする	- AC-OUT-002: View、Recall、空Recall、Failureのfixtureが相互に異なる`Presentation`/結果値を返し、Projectionと音声出力がその区別を失わないことを示す。	sha256:ab19698707c4d725172f73e5261f8fc9a014fd2b0a4c3a43f4bb434ad2588af1	sha256:d883fc9a0f916ddd0ce675b2d7b62573a057dd1df4001550b1c711dd6457b979
REQ-OUT-001	AC-OUT-003	4df6fb1:approved-bounded-contract.md:73	## REQ-OUT-001 — Presentationと出力目的を型付きにする	- AC-OUT-003: 翻訳、要約翻訳、文字起こし翻訳のfixtureが選択した翻訳言語だけを音声再生対象にし、英語または原文の二重再生Effectを生成しない。	sha256:ab19698707c4d725172f73e5261f8fc9a014fd2b0a4c3a43f4bb434ad2588af1	sha256:b06ebf2a753534c0583c40fb4d49e2a296c0b9f100d677d73f73ae680106751e
REQ-OUT-001	AC-OUT-004	4df6fb1:approved-bounded-contract.md:74	## REQ-OUT-001 — Presentationと出力目的を型付きにする	- AC-OUT-004: View/Recall fixtureが、必要Observation/ArtifactRef/Memory provenanceを欠く場合に目的固有の拒否またはFailureを返し、別purposeへ暗黙変換しない。	sha256:ab19698707c4d725172f73e5261f8fc9a014fd2b0a4c3a43f4bb434ad2588af1	sha256:fcf94b9d6a8d92384e83bfc67a7670d2d090c683c5b7981c96e9bf06f34aa4c9
REQ-EFX-001	AC-EFX-001	4df6fb1:approved-bounded-contract.md:84	## REQ-EFX-001 — EffectOccurrenceで仕事の出現と再実行を区別する	- AC-EFX-001: 同値のEffectを二回含むGraph fixtureが、二つのOccurrence identity、結果Event、監査記録を保持し、一方の結果を他方へ誤相関しない。	sha256:ffe4c4cf6874d1bfd55df76da3c80fef1b86231f2aa656c73fb6ec27e6f3f5a2	sha256:383f6ccda4ca219ff9f705ce39a39f1b69c2d071646fc072779c4a5dbc836106
REQ-EFX-001	AC-EFX-002	4df6fb1:approved-bounded-contract.md:85	## REQ-EFX-001 — EffectOccurrenceで仕事の出現と再実行を区別する	- AC-EFX-002: 並列可能な同値Effectと、意味的dependency edge/guard、resource claimを持つEffectのfixtureが、値や生成順ではなくedge/guardだけから意味のready順を決める。resource claimはscheduler admissionの競合を防ぐだけで、順序そのものを表さない。	sha256:ffe4c4cf6874d1bfd55df76da3c80fef1b86231f2aa656c73fb6ec27e6f3f5a2	sha256:fe5b3bdafa6d4e25641683bb43e03371da9593ca765f06706993c5812a718a4d
REQ-EFX-001	AC-EFX-003	4df6fb1:approved-bounded-contract.md:86	## REQ-EFX-001 — EffectOccurrenceで仕事の出現と再実行を区別する	- AC-EFX-003: profile settle fixtureがdispatch時のprofile versionを保持し、start Event前には時計を消費せず、経過後もObserved完了を作らない。	sha256:ffe4c4cf6874d1bfd55df76da3c80fef1b86231f2aa656c73fb6ec27e6f3f5a2	sha256:f889a5f0fbbd3fff8b43f2ac02a511f7baec1ce8cdc47d2e508cef0d897d81cf
REQ-EFX-001	AC-EFX-004	4df6fb1:approved-bounded-contract.md:87	## REQ-EFX-001 — EffectOccurrenceで仕事の出現と再実行を区別する	- AC-EFX-004: 同じAPI requestの重送とrestart後の同一Occurrence recoveryを別々に試験し、一方のkey/Policyを他方の代用にしない。	sha256:ffe4c4cf6874d1bfd55df76da3c80fef1b86231f2aa656c73fb6ec27e6f3f5a2	sha256:76daffa27b9dcb95a7cec49b4590c72f6f724fb675d4c614cfadc1ffbda323d0
REQ-EFX-001	AC-EFX-005	4df6fb1:approved-bounded-contract.md:88	## REQ-EFX-001 — EffectOccurrenceで仕事の出現と再実行を区別する	- AC-EFX-005: `right -> settle -> left`と`right -> settle -> right`のGraph fixtureが、各moveを別Occurrenceとして保持し、各profile settleを持ち、`move -> settle -> capture -> interpret/recall`の意味edgeを記録する。resource claimだけでこの順序を表現してはならない。	sha256:ffe4c4cf6874d1bfd55df76da3c80fef1b86231f2aa656c73fb6ec27e6f3f5a2	sha256:27ce6afe5da69eac0f628854b09fca9a2d767c0a7f47097ef09458872c8e08a6
REQ-CNV-001	AC-CNV-001	4df6fb1:approved-bounded-contract.md:96	## REQ-CNV-001 — 初期FallbackToConversationを有限な一往復にする	- AC-CNV-001: 候補なしfixtureが`FallbackToConversation`を返し、一入力、一つの最終Presentation、型付きterminalまたはRecovery handoff、Home復帰を順に観測できる。	sha256:d868f833a4e874ff9d5846f4664cee70e1c3c79ec732a15cdc6e214188b936cc	sha256:fb6ffdc633a3c343ba1e3a4ec3fd4a7956b4602fa68ef919862c7d84d0ea0c3b
REQ-CNV-001	AC-CNV-002	4df6fb1:approved-bounded-contract.md:97	## REQ-CNV-001 — 初期FallbackToConversationを有限な一往復にする	- AC-CNV-002: 安全、権限、Capability Policyで拒否された候補のfixtureはfallbackせず、拒否と無Effectを返す。	sha256:d868f833a4e874ff9d5846f4664cee70e1c3c79ec732a15cdc6e214188b936cc	sha256:900ea9de11a7eae5f2294f3f770c51f385e54b53219e1d6f28532ffc5afb2792
REQ-CNV-001	AC-CNV-003	4df6fb1:approved-bounded-contract.md:98	## REQ-CNV-001 — 初期FallbackToConversationを有限な一往復にする	- AC-CNV-003: Home後の次Interactionが会話履歴を参照できても、前のConversation Effect、session、取消、未解決結果を再利用しないことを示す。	sha256:d868f833a4e874ff9d5846f4664cee70e1c3c79ec732a15cdc6e214188b936cc	sha256:cfeb27a5df30424ec6888ad26e16288cc1f3f098b5eb5f76d4457de6e70595ca
REQ-CNV-001	AC-CNV-004	4df6fb1:approved-bounded-contract.md:99	## REQ-CNV-001 — 初期FallbackToConversationを有限な一往復にする	- AC-CNV-004: terminal fixtureがresponse generation terminal、final Projection published、Memory save terminalまたはdurable Failure/Recovery handoffを確認してからHomeへ戻ること、TTS heard completionを要求せずplayback `OutcomeUnknown`をRecoveryへ相関することを示す。	sha256:d868f833a4e874ff9d5846f4664cee70e1c3c79ec732a15cdc6e214188b936cc	sha256:8a8079a8ef08aa336621a87f1c3fef9428d93432bf12b5a86f292967f475eb8a
REQ-QLI-001	AC-QLI-001	4df6fb1:approved-bounded-contract.md:107	## REQ-QLI-001 — QualiaとInteractionのadmission責務を分離する	- AC-QLI-001: ownership fixtureがQualiaの開始/HomeとInteractionの受理/request-idempotency ledger/cancelを別々に一度だけ登録し、ledgerがclient key、payload fingerprint、replay可能な型付きresult、status、lifecycleを持つこと、admission Ruleが純粋な読取だけで評価できることを示す。	sha256:6b492a8e26c63d5547397ee9f90d779a6fb88b65239ab1af3ff1a06d8e48da8c	sha256:b6aee16d608df193111e50a74c4229a7a3b951b3df275d70d5fa23046af40259
REQ-QLI-001	AC-QLI-002	4df6fb1:approved-bounded-contract.md:108	## REQ-QLI-001 — QualiaとInteractionのadmission責務を分離する	- AC-QLI-002: Busy fixtureが新しいQualia、待機列、Effect Graph、dispatchを作らず、型付きBusy結果を返す。	sha256:6b492a8e26c63d5547397ee9f90d779a6fb88b65239ab1af3ff1a06d8e48da8c	sha256:ed451090f0d8206a73eadf3fe934e33db31cc2a1fa39325a3a68492defda63c5
REQ-QLI-001	AC-QLI-003	4df6fb1:approved-bounded-contract.md:109	## REQ-QLI-001 — QualiaとInteractionのadmission責務を分離する	- AC-QLI-003: 同じ通常入力を二つのBehavior Policyへ与えるfixtureが、current Qualiaのcontrolと通常入力の異なる解釈を明示し、HomeとWeb Cancelは両方で優先して共通Commandになることを示す。TTS再生中の音声Stop候補だけはREQ-ACOU-001の抑止判定を先に通る。	sha256:6b492a8e26c63d5547397ee9f90d779a6fb88b65239ab1af3ff1a06d8e48da8c	sha256:ec730598726c573dff95b06f79d8a27bd1321d1b93f706c22a222f122ee2fdf7
REQ-QLI-001	AC-QLI-004	4df6fb1:approved-bounded-contract.md:110	## REQ-QLI-001 — QualiaとInteractionのadmission責務を分離する	- AC-QLI-004: 二つの認証済みbrowser/API mutationとvoiceが同時に入力するfixtureで、browser/API mutationはclient idempotency keyを必須にする。voiceはAPI keyを要求されず、Adapter/Interaction Contextがserver-assigned input identityを付与する。同一API key/同一payloadは同じ型付きresultをreplayしてEffectを重複せず、同一API key/異payloadはConflictを返す。restart fixtureはRejected mutation、AcceptedNoEffect mutation、Pending mutation、Completed mutationをInteraction request-idempotency ledgerから復元・replayし、Execution pending `EffectOccurrence` recordやRecovery keyと混同しない。HomeとWeb Cancelは競合中も優先し、音声Stopの抑止中もWeb Cancelと音声／Web Homeは受理する。	sha256:6b492a8e26c63d5547397ee9f90d779a6fb88b65239ab1af3ff1a06d8e48da8c	sha256:95ffe328409898b0152f96ad2e92422c530242e363c0c9b3a97842ec0e4ab7ab
