Obligation ID	Parent AC	Package ID	Tranche ID	Canonical storage ref	Obligation meaning SHA-256	Joint group	Parent contribution	Design IDs	Proof type	Negative case	Target scope	Accounting	Design	Proof	Blocker
DO-ACO-005A	AC-ACOU-005	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-005A	sha256:3b4bd2dc031b83d53f4a735220a61ac88b4ac25d1d3465a929e5728c8b350616	JG-ACO-REAL-AUDIO	full	SD-GPH-ACO-001, SD-RUL-ACO-002, SD-EFX-ACO-002, SD-EFX-ACO-004, SD-PRF-ACO-001	integration/real-device	「はい」をtranscriptへ混入、最初の発話欠落	実profile	accounted-for	designed	blocked-by-spike	proof-status:blocked-by-spike
DO-ACO-005B	AC-ACOU-005	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-005B	sha256:4e2efeabb91c3fabffede7af45e5bf136da79be90ed34394ac46e0d39bd28d64	JG-ACO-SELF-AUDIO	full	SD-RUL-ACO-001, SD-RUL-ACO-004, SD-MOD-ACO-001, SD-POL-ACO-002	pure/integration/real-device	実TTS waveformから通常wake／Interaction／LLM、Home/Stop経路停止	実profile	accounted-for	designed	blocked-by-spike	proof-status:blocked-by-spike
DO-ACO-005C	AC-ACOU-005	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-005C	sha256:a55f050c2a0127ccb83ea7c9ba6e2f5588cf0d4a2595e7c1adfdb4ca424f18bf	JG-ACO-EMPTY	full	SD-RUL-ACO-003, SD-TRN-ACO-003, SD-CMD-QLI-001, SD-PRJ-ACO-001	pure/integration	空命令からLLM/body Effect、通知をAcousticへ直結	共通	accounted-for	designed	planned	—
DO-ACO-006A	AC-ACOU-006	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-006A	sha256:9a1c158b5b8a1c9448d521aa3e6300d563fada1f6e4e7dd414fe2cca88d6a2c0	JG-ACO-STOP-POLICY	full	SD-POL-ACO-002, SD-RUL-ACO-004, SD-EVT-ACO-007	pure	Stop語あり全文で利用者Stopだけ特別に通す	全対応profile	accounted-for	designed	planned	—
DO-ACO-006B	AC-ACOU-006	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-006B	sha256:7f2ae1d65ed8b604c059aad79a950e865c6ede6eea66507653baadab89459cff	JG-ACO-STOP-CONTROL	full	SD-RUL-ACO-004, SD-POL-ACO-003, SD-EVT-ACO-014, SD-TRN-ACO-004, SD-PER-ACO-002, SD-CMD-INT-001, SD-CMD-QLI-001	pure/integration/crash-recovery	Adapter hint／暗黙currentをtarget化、0／複数cancellableからCancel、replay／late raceで別Interactionへ読替、同ID異payload受理、Web Home/Cancel抑止	共通	accounted-for	designed	planned	—
DO-ACO-006C	AC-ACOU-006	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-006C	sha256:f2b7ecfec564123a44622fa5158d549ce015d363448975095f2eff3e391e5513	JG-ACO-TC70-GATE	full	SD-PRF-ACO-001, SD-PRJ-ACO-001	real-device/measurement/owner-gate	実測またはOwner採否なしでTC70 release-ready	TC70初期release	accounted-for	designed	blocked-by-spike	proof-status:blocked-by-spike
DO-ACO-006D	AC-ACOU-006	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-006D	sha256:498756d8e9986d860c7ababb1b6bea24a68ef83f7ef5e8477222efb4781cdfc1	JG-ACO-C210-GATE	full	SD-PRF-ACO-001, SD-PRJ-ACO-001	real-device/measurement/owner-gate	C210未達でTC70をblock、または証拠なしでC210対応主張	C210対応profile	accounted-for	designed	blocked-by-spike	proof-status:blocked-by-spike
DO-ACO-007A	AC-ACOU-007	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-007A	sha256:00fe0f274aa8bbb240ef47e34ee008f491d68dc6e7dabb22cc6f984e14f14b19	JG-ACO-BINDING-OWNER	full	SD-CTX-ACO-001, SD-CTX-EXE-001, SD-STA-ACO-001, SD-STA-EXE-002, SD-MOD-ACO-001, SD-RUL-ACO-005, SD-EVT-ACO-008, SD-TRN-ACO-006, SD-PER-ACO-001	architecture/pure	binding二重所有、dispatch後Policy/current全文読替	Acoustic／Execution V2	accounted-for	designed	planned	—
DO-ACO-007B	AC-ACOU-007	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-007B	sha256:05bb8f3e0525e07867a5c907ce2dbc85f314238444124425355b8de5d67ed695	JG-ACO-ADAPTER-RULE	full	SD-EVT-ACO-006, SD-RUL-ACO-004, SD-PRT-ACO-001, SD-PRT-ACO-003	architecture/contract/pure	TTS/STT Adapterが抑止Decision／State所有	audio境界	accounted-for	designed	planned	—
DO-ACO-007C	AC-ACOU-007	WP-01	TR-WP01-ACOU-001	docs/system-design/slices/04-acoustic-one-wake-one-command.md::DO-ACO-007C	sha256:3bded7f2a6e108fd74124150a78fe1ebe9993afec1e1bc58fe8b6887e02b56e2	JG-ACO-RECOVERY	full	SD-STA-EXE-002, SD-PRF-EXE-001, SD-EFX-ACO-007, SD-EFX-ACO-008, SD-EFX-ACO-009, SD-EFX-ACO-010, SD-RUL-ACO-010, SD-TRN-ACO-008, SD-GPH-ACO-002, SD-REC-ACO-001	concurrency/crash-recovery	別generation targetへcancel/custody/lease release、V1 unknown/custodyの復旧field欠落、crash後blind retry、cancelを停止成功化、unknown lease解放	共通	accounted-for	designed	planned	—
