Record type	Identity	Value
tranche	TR-WP01-ACOU-001	WP-01
package	WP-01	TR-WP01-ACOU-001
parent-ac	AC-ACOU-001	TR-WP01-ACOU-001
parent-ac	AC-ACOU-002	TR-WP01-ACOU-001
parent-ac	AC-ACOU-003	TR-WP01-ACOU-001
parent-ac	AC-ACOU-004	TR-WP01-ACOU-001
parent-ac	AC-ACOU-005	TR-WP01-ACOU-001
parent-ac	AC-ACOU-006	TR-WP01-ACOU-001
parent-ac	AC-ACOU-007	TR-WP01-ACOU-001
definition	SD-MOD-ACO-001@1	contracts/acoustic-interaction.md#sd-mod-aco-001--speechacousticbindingview	sha256:4f4bcc2e459d6dda5ed6db96a1008e0421b63c2959618bf28893f5eda2480858
definition	SD-MOD-ACO-002@1	contracts/acoustic-interaction.md#sd-mod-aco-002--acousticgraphcontributionv2	sha256:4b837731e71e3411a53a3269524fcd9959cc4b4f33aaeb2a372a87b31366381f
definition	SD-MOD-ACO-003@1	contracts/acoustic-interaction.md#sd-mod-aco-003--acoustictemporalevidence	sha256:007ed69e2a8b725e1e4e9aa30fe8062e50786daf7fceefda210d3e3c49a8c429
definition	SD-MOD-EXE-004@1	contracts/execution-acoustic-v2.md#sd-mod-exe-004--executioncontractv2	sha256:14060017be57403216296288cb08629333213df4ef76817840735de524a39c30
definition	SD-MOD-EXE-005@1	contracts/execution-acoustic-v2.md#sd-mod-exe-005--executionsnapshotv1tov2migration	sha256:97e7ade81583827c8c989efbab301ca9d772229f5fdd23b914a643c165502376
definition	SD-PER-ACO-001@1	contracts/acoustic-interaction.md#sd-per-aco-001--durableacousticboundary	sha256:b50030f7e1bac7b73e84d1516978f77dcb03d7d61c46583027f69c1ae4fbe236
definition	SD-PER-ACO-002@1	contracts/acoustic-interaction.md#sd-per-aco-002--durablevoicecontroldecisionuow	sha256:b3fb03e3ae3a8baec591ad3a9060b9805eef5153c60e69ee9a838d68a2f1e509
definition	SD-PER-EXE-008@1	contracts/execution-acoustic-v2.md#sd-per-exe-008--durableacousticgraphextensionuow	sha256:ae0092b165f5facf2a0686fc4a035dcfc5f64953dd30d7baf1b8f7a4174c4d95
definition	SD-PER-EXE-009@1	contracts/execution-acoustic-v2.md#sd-per-exe-009--executionsnapshotv2activationuow	sha256:6728a263742d7b7d126e83ec723a3d8df0c444ee8d2d85e45fedc2baba57e443
definition	SD-PER-EXE-010@1	contracts/execution-acoustic-v2.md#sd-per-exe-010--durableexecutionmigrationcontroluow	sha256:b52087c65e60b77bc72f0ad93e40243455ed696e2fc27374d2c26da95562afb3
definition	SD-POL-ACO-001@1	contracts/acoustic-interaction.md#sd-pol-aco-001--acousticsessionpolicy	sha256:920678c6387131443f3f9be9c0162899fd8f0ef51df4991e5774c9729cd58633
definition	SD-POL-ACO-002@1	contracts/acoustic-interaction.md#sd-pol-aco-002--stopsuppressionpolicy	sha256:5950c2a4d5183098a9431caa5104d571a1705a7ccc9497cf3c28a79a26093a41
definition	SD-POL-ACO-003@1	contracts/acoustic-interaction.md#sd-pol-aco-003--acoustictemporalambiguitypolicy	sha256:0bc4f2a5965cd8074bb467ad80778c4b85c256dd637d5b0cac2665048c9c6509
definition	SD-PRF-ACO-001@1	contracts/acoustic-interaction.md#sd-prf-aco-001--acousticprofileproofcontract	sha256:8d22ca0dd2d45853dded02992c9007aa519f6b8a0c5bde7f95f4496cbda756fe
definition	SD-PRF-EXE-001@1	contracts/execution-acoustic-v2.md#sd-prf-exe-001--executionv1v2roundtripproofcontract	sha256:0524a0647c66408aadf0571c45cccda7ed5917dc336a28ba9827e5d43cf75fa6
definition	SD-PRJ-ACO-001@1	contracts/acoustic-interaction.md#sd-prj-aco-001--acousticsessionprojection	sha256:b8529991ed5c003786017e05d0367e0b4bccc38f4c55505e5ea355c6734271bb
definition	SD-PRJ-EXE-001@1	contracts/execution-acoustic-v2.md#sd-prj-exe-001--executionv1compatibilityview	sha256:8ec4697391830391971489c26c913b702da166d4f70eb48a466a12f37b517c82
definition	SD-PRT-ACO-001@1	contracts/acoustic-interaction.md#sd-prt-aco-001--acousticcandidateingressport	sha256:ed90e846c9514dbb715d9ef2df43430bd724904e1ab99139e8841ed1e2a92078
definition	SD-PRT-ACO-002@1	contracts/acoustic-interaction.md#sd-prt-aco-002--acousticsourceport	sha256:4ed08b8e757105cd765f61b57e3a76fa43e101bcde752d22f8c3e3d0e5c3705d
definition	SD-PRT-ACO-003@1	contracts/acoustic-interaction.md#sd-prt-aco-003--wakepromptport	sha256:ecb41e2b890ef384fea882cdf7c8588f4dd5738de0e43f8bbacc67dd9caa0c6c
definition	SD-PRT-ACO-004@1	contracts/acoustic-interaction.md#sd-prt-aco-004--acousticboundaryport	sha256:cda75585e39bdf5004013094df7439696d99d3a5a490a78f5cbe5de0dbb643f2
definition	SD-REC-ACO-001@1	contracts/acoustic-interaction.md#sd-rec-aco-001--acousticrecovery	sha256:2ac02ff8ca7a3bbd3a8932c2c9df85e6af1e8735be4743d19ef6d74a035bc977
definition	SD-RUL-ACO-001@1	contracts/acoustic-interaction.md#sd-rul-aco-001--decidewakeacceptance	sha256:682046635ef4de6d42cb3bac0eca0ffb23701579e21349a1ddd6f79f3a69ec86
definition	SD-RUL-ACO-002@1	contracts/acoustic-interaction.md#sd-rul-aco-002--decideacousticspandisposition	sha256:04499bce6d38e952d4ec4fea9149a94c961d496971a15f1fb267808dc91084cd
definition	SD-RUL-ACO-003@1	contracts/acoustic-interaction.md#sd-rul-aco-003--decideonewakecommand	sha256:83368dbb91308a289d95cb97a9ab85d59758d154cb734fa5608e50932fd9dfc1
definition	SD-RUL-ACO-004@1	contracts/acoustic-interaction.md#sd-rul-aco-004--decidevoicecontrolcandidate	sha256:40008b4479ac9c9a89a84ea00a38219b3fffbdc95923b77e77362a61cb82adc1
definition	SD-RUL-ACO-005@1	contracts/acoustic-interaction.md#sd-rul-aco-005--validatespeechacousticbinding	sha256:ba6a8793efa2da4b9f2f6c754b2636859be54dc19da725b33fc0ff7eb4c5d986
definition	SD-RUL-ACO-006@1	contracts/acoustic-interaction.md#sd-rul-aco-006--decideacousticrecovery	sha256:95254441302fc08e923b7bc651d012c87eaeef84d080b9f55c36d10b0d73636c
definition	SD-RUL-ACO-007@1	contracts/acoustic-interaction.md#sd-rul-aco-007--validateacousticpolicyrevision	sha256:51086d764e1c3351cb28c9c16dfcc2b041bfb981c3308e16da57f884b7d0cca2
definition	SD-RUL-ACO-008@1	contracts/acoustic-interaction.md#sd-rul-aco-008--decideprerollselection	sha256:88894fd2b07a709f7dc29398790cbf6955ee4f5ee4fee42905a6831d8444eac5
definition	SD-RUL-ACO-009@1	contracts/acoustic-interaction.md#sd-rul-aco-009--buildacousticgraphcontribution	sha256:f6773a954ad4c87fb85d7ff1ba3e1dadb39d4ebd3c63cf125f22863a71b1c17c
definition	SD-RUL-ACO-010@1	contracts/acoustic-interaction.md#sd-rul-aco-010--decideacousticoccurrencewinner	sha256:756a8520f1f67fb6444b0c75257c2dfa5b605a8ea6bf9b817979c4e34b4e46ac
definition	SD-RUL-ACO-011@1	contracts/acoustic-interaction.md#sd-rul-aco-011--decidepostwakecollection	sha256:8a8c4fbcb4b806dafec3de7cf5f1f37b8a7a59e680b8c4aafceb994615ea8f3a
definition	SD-RUL-ACO-012@1	contracts/acoustic-interaction.md#sd-rul-aco-012--classifywakepromptoutcome	sha256:dbae120656dd4283a42392623de791e0b9386babd403bac9654181ad09eaee66
definition	SD-RUL-EXE-007@1	contracts/execution-acoustic-v2.md#sd-rul-exe-007--validateacousticgraphcontribution	sha256:1210ff86c99d0857d9157990501cce25228439c400199b16b8121a014f94bb76
definition	SD-RUL-EXE-008@1	contracts/execution-acoustic-v2.md#sd-rul-exe-008--validateexecutionsnapshotv1tov2migration	sha256:75a37e3e593501b95102856587ed4b72ffbc408373772c2fbc3a2a838b1b2e4b
definition	SD-RUL-EXE-009@1	contracts/execution-acoustic-v2.md#sd-rul-exe-009--decideexecutionmigrationcontrol	sha256:14f875e9fceea5d095da16ef304f697562dafd41d44dce5abd24a3ceb52f9bee
definition	SD-STA-ACO-001@1	contracts/acoustic-interaction.md#sd-sta-aco-001--acousticstate	sha256:6b31ecec20c4387c31ec4cf00182258d01a1b724ce3ee92a9084b3274af56400
definition	SD-STA-EXE-002@2	contracts/execution-acoustic-v2.md#sd-sta-exe-002--executionstatev2	sha256:c696cb1452a46e9a3e2359486180475ca0d5a57441b8bd52cb3b2b91ce516abf
definition	SD-TRN-ACO-001@1	contracts/acoustic-interaction.md#sd-trn-aco-001--applywakeacceptance	sha256:3585b179d7cd6d22a76b0804320a263521454829c17dcdb12d96174bf97474ce
definition	SD-TRN-ACO-002@1	contracts/acoustic-interaction.md#sd-trn-aco-002--applysourceandguardobservation	sha256:34d1968f463b176a0fb3a8a0e709a24c647ca86ad7f4c821c08ab8fb8b57eee8
definition	SD-TRN-ACO-003@1	contracts/acoustic-interaction.md#sd-trn-aco-003--applyonewakecommanddecision	sha256:abb24c027a4fbc24778c884873ec3f9104cc5a104bd34ce09cf4d7c33322991c
definition	SD-TRN-ACO-004@1	contracts/acoustic-interaction.md#sd-trn-aco-004--applyvoicecontroldecision	sha256:bf06e48fd282e920908298a599684872f61d94017c6022eb0b203aff59956066
definition	SD-TRN-ACO-005@1	contracts/acoustic-interaction.md#sd-trn-aco-005--applysourcerecoverydecision	sha256:ad0ef25e23147356353a9f830ba28a06e995465746ab46c40dbff6d42e40a6d4
definition	SD-TRN-ACO-006@1	contracts/acoustic-interaction.md#sd-trn-aco-006--applyacousticpolicyrevision	sha256:5ab02d84be5c883b50cafb75d067c1407a954f3c55fc5beb28576d0cd4612299
definition	SD-TRN-ACO-007@1	contracts/acoustic-interaction.md#sd-trn-aco-007--applyprerollselection	sha256:45e4d7c84a26aef79905761c15a665b35cc2db1040c80f766a8f2ace1b90012a
definition	SD-TRN-ACO-008@1	contracts/acoustic-interaction.md#sd-trn-aco-008--applyacousticoccurrencewinner	sha256:8619f37e52d27a15748617682ef3c152c05bfb067e60d9733f59105f3c360ca9
definition	SD-TRN-EXE-016@1	contracts/execution-acoustic-v2.md#sd-trn-exe-016--extendacousticeffectgraph	sha256:bd10ffcb37c30193e620547194570a725baee785c35ca654cae665221c7d4a23
definition	SD-TRN-EXE-017@1	contracts/execution-acoustic-v2.md#sd-trn-exe-017--migrateexecutionsnapshotv1tov2	sha256:f97b4d85fac524edc9f62798d9ac5c78ab6bfc36f25b0ba889d499e8dcc15907
definition	SD-TRN-EXE-018@1	contracts/execution-acoustic-v2.md#sd-trn-exe-018--applyexecutionmigrationcontrol	sha256:37b65b197c780e85ded4169347489404925b602c88098c0ce676395196c2a7fb
